name,category,place_tag,distance_to_kazan_border_km,lat,lon,osm_type,osm_id
Верхний Услон,town,town,2.43,55.76855,48.982921,node,703197622
Высокая Гора,town,town,3.63,55.899164,49.326502,relation,19208671
Иннополис,town,town,7.28,55.752212,48.744568,node,2294499518
Пестрецы,town,town,16.9,55.754297,49.651184,relation,19205489
Нижние Вязовые,town,town,18.88,55.799632,48.522375,node,752193024
Зеленодольск,town,town,19.14,55.858659,48.519889,relation,3398075
Волжск,town,town,29.0,55.863658,48.36186,node,336523790
Лаишево,town,town,31.93,55.405062,49.539768,way,59604699
Козловка,town,town,35.85,55.841476,48.248423,node,853568231
Большая Атня,town,town,38.42,56.25066,49.446462,way,121536367
Арск,town,town,43.12,56.08717,49.880142,relation,2325393
Камское Устье,town,town,45.36,55.201563,49.268008,node,336524471
Красногорский,town,town,45.68,56.154153,48.320625,node,256443047
Ремплер,village,village,0.11,55.868746,48.930944,node,895593267
Воронино,village,village,0.12,55.861833,48.916417,relation,4734408
Новая Тура,village,village,0.36,55.868455,48.841228,node,382584675
Новониколаевский,village,village,0.44,55.89617,48.963657,way,75918940
Богородское,village,village,0.45,55.741262,49.38342,way,1391698564
Усады,village,village,0.65,55.670506,49.224764,relation,6625146
Вороновка,village,village,0.68,55.646154,49.11935,relation,18378936
Осиново,village,village,0.78,55.877298,48.89102,node,722796219
Габишево,village,village,0.98,55.609378,49.138473,way,57357884
Куюки,village,village,1.08,55.714543,49.353548,node,703114818
Малые Кабаны,village,village,1.09,55.652749,49.280417,node,760312409
Чистое Озеро,village,village,1.17,55.59495,49.101113,node,760373639
Большие Кабаны,village,village,1.2,55.649358,49.305479,node,760312410
Набережные Моркваши,village,village,1.25,55.778609,48.845355,node,382584674
Нижний Услон,village,village,1.35,55.695067,48.966936,node,703197619
Столбище,village,village,1.38,55.646016,49.217725,node,703114810
Песчаные Ковали,village,village,1.53,55.628593,49.143119,node,703114811
Печищи,village,village,1.53,55.776568,48.950424,node,752673272
Гильдеево,village,village,1.58,55.75607,49.405093,node,807630777
Званка,village,village,1.64,55.808297,49.371796,way,1391697437
Ореховка,village,village,1.95,55.856609,48.818139,node,722795443
Ключищи,village,village,1.98,55.6723,48.959886,node,752704254
Октябрьский,village,village,2.04,55.833007,48.789635,node,452533245
Эстачи,village,village,2.26,55.862741,49.361132,relation,19208673
Озёрный,village,village,2.3,55.931376,49.067404,relation,19950902
Дубровка,village,village,2.53,55.86712,48.805752,node,652117524
Орёл,village,village,2.54,55.590432,49.069629,relation,19205414
Дачное,village,village,2.95,55.944445,49.258198,way,431229876
Красницкий,village,village,3.74,55.874178,48.787872,way,58281765
Кощаково,village,village,3.89,55.798524,49.405456,node,807626622
Матюшино,village,village,3.9,55.647421,48.950144,way,1392705827
Пермяки,village,village,4.11,55.871426,49.38642,way,122961192
имени Кирова,village,village,4.16,55.75264,48.933247,relation,3869600
